time,direction,bytes,latency,bps,duration,serverTime,responseSize,loadedLatencies
1721688252559,download,100000,22.200136988079066,33433142.48581165,24.000136999999995,93.999863,100300,20.09999602384186
1721688254458,download,100000,18.20004601788139,38763198.850227684,20.70004601788139,72.999954,100300,
1721688254552,download,100000,20.60013899403954,36472496.83286091,22.000139000000004,70.999861,100300,20.799799982118607
1721688254654,download,100000,24.800025011920923,30980665.06944843,25.900025005960458,75.999975,100300,
1721688254750,download,100000,20.699993988079072,36472737.21983742,21.999994,69.000006,100300,
1721688254832,download,100000,18.499985000000002,39527122.83811047,20.29998498211861,59.000015,100300,
1721688254909,download,100000,19.800098982118605,36639103.81745509,21.90009897615814,53.999901,100300,
1721688254988,download,100000,22.799933011920928,34144778.20000593,23.499933,55.000067,100300,20.000027000000003
1721688255076,download,100000,20.000202,36472392.3898517,22.000202,61.999798,100300,
1721688255167,download,100000,19.600066994039537,38763159.581178784,20.700066988079072,69.999933,100300,
1721688255292,download,1000000,19.699869988079072,141385483.76246664,56.59986999403954,64.00013,1000300,20.09995402384186
1721688255429,download,1000000,19.400158005960463,221059808.70678076,36.20015798807907,90.999842,1000300,
1721688255528,download,1000000,17.900087976158147,274995732.02799594,29.10008799403954,66.999912,1000300,
1721688255625,download,1000000,19.69989098807907,254045323.52191317,31.499890999999998,61.000109,1000300,
1721688255729,download,1000000,18.900232976158136,263234824.7553237,30.400232976158136,68.999767,1000300,
1721688255861,download,1000000,18.500118,144708551.9469405,55.30011801192093,73.999882,1000300,18.100005994039535
1721688255978,download,1000000,19.10000399403954,234674459.3167428,34.10000399403954,78.999996,1000300,
1721688256118,download,1000000,19.1999810178814,260664656.28558373,30.6999810178814,105.000019,1000300,
1721688256195,upload,100000,17.199933017881392,11135734.069264231,72.2000000178814,55.000067,376,
1721688256253,upload,100000,22.90008000596046,14130052.722597156,56.900000005960464,33.99992,376,19.900036005960466
1721688256347,upload,100000,18.800139011920933,8953229.397475157,89.80000001192093,70.999861,375,
1721688256398,upload,100000,19.400029005960466,16275303.64176096,49.400000005960464,29.999971,375,
1721688256458,upload,100000,18.599799994039536,13720136.520166865,58.599999994039536,40.0002,374,
1721688256513,upload,100000,18.19993498807907,16015936.258783361,50.19999998807907,32.000065,376,
1721688256569,upload,100000,17.599841994039537,15581395.350637058,51.599999994039536,34.000158,376,
1721688256632,upload,100000,21.90020397615814,13201970.448518217,60.89999997615814,38.999796,376,
1721688261168,upload,1000000,16.90011400596046,30698739.97639183,261.90000000596046,244.999886,376,175.499966
1721688261388,upload,1000000,42.200234988079075,37711069.42049508,213.19999998807907,170.999765,376,
1721688261672,upload,1000000,19.300103011920953,28993869.454216965,277.30000001192093,257.999897,376,
1721688261905,upload,1000000,18.000055000000003,35575221.23893805,226,207.999945,375,103.59993299403953
1721688262159,upload,1000000,18.900073976158154,32563791.01164998,246.89999997615814,227.999926,376,
1721688262390,upload,1000000,19.900004005960454,35908887.89542638,223.90000000596046,203.999996,376,31.60003799403954
1721688262676,download,10000000,17.100270994039533,483689654.8804142,165.40027100596046,108.999729,10000300,17.900059005960465
1721688262880,download,10000000,18.000012999999996,749788099.9221451,106.70001298807907,88.999987,10000300,
1721688263116,download,10000000,19.300013011920925,585669051.1697891,136.60001299403953,88.999987,10000300,16.700119988079074
1721688263323,download,10000000,18.800004011920933,684952031.267351,116.80000401192093,78.999996,10000300,
1721688263547,download,10000000,18.20015798807907,652015460.3857367,122.70015798807907,90.999842,10000300,17.499944999999997
1721688263748,download,10000000,18.800170011920926,698100185.919061,114.60017002384186,77.99983,10000300,
1721688266005,upload,10000000,18.499912000000222,36520554.167612985,2201.5,2183.000088,376,289.7002119880791 124.69989298807907 292.4000360059605
1721688268004,upload,10000000,17.200005988079056,41268863.566621475,1948.199999988079,1930.999994,376,39.7000690178814 40.700036017881395 39.399870005960466 34.499985
1721688269825,upload,10000000,18.00021700000002,45398080.18068887,1771,1752.999783,375,16.999912000000002 42.20000601788139 46.800129982118605 42.20014098807907
1721688271641,upload,10000000,17.60023802384194,45485403.936928906,1767.6000000238419,1749.999762,376,44.69993301788139 45.500139000000004 47.100253994039534 45.10002699403954
1721688271977,download,25000000,17.799993982118608,830919837.9535702,240.6999939880791,69.000006,25000300,17.69997498807907
1721688272665,download,25000000,17.899891005960463,328897279.80885357,608.0998909940396,61.000109,25000300,63.800005982118606
1721688273090,download,25000000,18.40001500596047,591198318.4824022,338.3000149821186,65.999985,25000300,40.10021199403954
1721688273522,download,25000000,20.699952017881387,600427585.7823565,333.09995199403954,75.000048,25000300,20.300056982118605
1721688274950,download,100000000,18.60000399403954,628043960.9821435,1273.8000039821186,78.999996,100000300,34.799890982118605 21.80004801192093 17.400151005960467
1721688276145,download,100000000,18.30015101192093,760024971.7063546,1052.6001510238418,57.999849,100000300,40.80021401192093 36.40007600596047
1721688277430,download,100000000,19.099867994039542,721633136.6226549,1108.5998679940396,87.000132,100000300,19.49987 19.10006902384186 58.19992398807907
